Task ID,Title,Epic,Type,Status,Priority,Story Points,Assignee,Phase,Week Start,Week End,Dependencies,Description,Acceptance Criteria,Technical Notes,Definition of Done,Initiative
JEAN-DEV-101,Set up Enhanced Docker Compose for Local Development,JEAN-DEV-001 - Local Development Infrastructure,Story,To Do,High,8,Backend Developer,Phase 1,1,2,None,"Create comprehensive Docker Compose setup with local-optimized services including PostgreSQL, Qdrant, Redis, Neo4j, MailHog, and Ngrok for webhook testing.","Docker Compose file with all required services on different ports | Services start successfully with docker-compose command | Health checks for all services pass | Local ports don't conflict with production services | Data persistence across container restarts","PostgreSQL on port 5433 (vs 5432 production) | Qdrant on port 6334 (vs 6333 production) | Redis on port 6380 (vs 6379 production) | Neo4j on ports 7688/7475 (vs 7687/7474 production)","All services start and pass health checks | Documentation updated with service URLs | Can connect to all services from host machine",Initiative 0: Local Development
JEAN-DEV-102,Create Development Makefile and Scripts,JEAN-DEV-001 - Local Development Infrastructure,Story,To Do,High,5,DevOps Engineer,Phase 1,1,2,None,"Implement comprehensive Makefile with 20+ commands for development workflow automation, including setup, testing, code quality, and database management.","Makefile with all commands from specification | make dev command starts complete environment | make test runs full test suite | make clean properly resets environment | Scripts for environment setup and validation","Commands: dev-start, dev-stop, dev-restart, dev-clean | db-reset, db-migrate, db-seed | test, test-unit, test-integration, test-e2e | lint, format, type-check, pre-commit","All Makefile commands work correctly | Help documentation shows all available commands | Scripts have proper error handling and validation",Initiative 0: Local Development
JEAN-DEV-103,Implement Test Data Seeding System,JEAN-DEV-001 - Local Development Infrastructure,Story,To Do,Medium,5,Backend Developer,Phase 1,1,2,None,"Create comprehensive test data seeding system using Faker library to generate realistic users, apps, memories, and documents for local development.","Seed script creates 5 test users with different subscription tiers | Generate 2-5 apps per user with various types | Create 10-50 memories per app with realistic content | Generate test documents with chunks for selected users | All seeded data follows existing schema constraints","Users: Different subscription tiers, realistic names/emails | Apps: Various types (Claude, ChatGPT, Notion, etc.) | Memories: Realistic content, proper categorization | Documents: With processed chunks for testing","make db-seed populates database with realistic test data | Seeded data enables comprehensive feature testing | Script is idempotent and can be run multiple times",Initiative 0: Local Development
JEAN-DEV-104,Set up Testing Infrastructure and Frameworks,JEAN-DEV-001 - Local Development Infrastructure,Story,To Do,Medium,3,QA Engineer,Phase 1,1,2,None,"Establish comprehensive testing infrastructure including unit, integration, and E2E test frameworks with proper fixtures and mocking capabilities.","Pytest configuration with async support | Test fixtures for database, users, apps | Mock configurations for external services | Test client setup for API testing | E2E testing framework for frontend","Unit tests with >90% coverage target | Integration tests for major workflows | API testing with authenticated clients | Mock external services (Notion, OpenAI, etc.)","Test suite runs successfully with make test | All test fixtures work correctly | Mocks prevent external API calls during testing",Initiative 0: Local Development
JEAN-MEM-101,Implement Local FAISS Vector Store,JEAN-MEM-001 - Dual-Layer Memory Architecture,Story,To Do,High,8,AI/ML Engineer,Phase 2,3,4,JEAN-DEV-101,"Create local FAISS-based vector store implementation for fast memory ingestion and search in the short-term memory layer.","FAISS vector store with persistent index storage | Support for 1536-dimensional embeddings (OpenAI compatible) | Ingestion performance <100ms per memory | Search performance <50ms for top-10 results | Proper ID mapping and metadata storage","Use IndexFlatL2 for simplicity and speed | Persistent storage in user home directory | Thread-safe operations for concurrent access | Memory footprint <500MB for 10k memories","FAISS operations work in local development environment | Performance targets met in testing | Integration tests verify functionality",Initiative 1: Short-term Memory
JEAN-MEM-102,Set up Local Neo4j Graph Store,JEAN-MEM-001 - Dual-Layer Memory Architecture,Story,To Do,High,5,Backend Developer,Phase 2,3,4,JEAN-DEV-101,"Configure local Neo4j instance with Docker for graph-based memory relationships and implement connection management.","Neo4j container configuration in Docker Compose | Connection utilities with proper error handling | Graph schema for memory relationships | Basic CRUD operations for memory nodes and relationships | Health check integration","Memory nodes with content and metadata | Relationship types: RELATES_TO, DEPENDS_ON, SIMILAR_TO | User and app context nodes | Temporal relationships for memory sequences","Neo4j accessible at bolt://localhost:7688 | Connection utilities work in local development | Basic graph operations tested and verified",Initiative 1: Short-term Memory
JEAN-NOT-101,Implement Notion OAuth Integration,JEAN-NOT-001 - Notion Integration System,Story,To Do,High,8,Backend Developer,Phase 2,3,4,JEAN-DEV-101,"Implement complete Notion OAuth flow including workspace connection, token management, and user authorization.","OAuth 2.0 flow with Notion API | Secure token storage with encryption | Workspace information retrieval | Connection status management | Error handling for authorization failures","Authorization URL generation | Callback handling with state validation | Token refresh mechanism | Workspace metadata storage | User notification system","Users can connect Notion workspace successfully | Tokens stored securely and refreshed automatically | Integration status visible in UI",Initiative 2: Notion Integration
JEAN-API-101,Design REST API Endpoints and Schema,JEAN-API-001 - REST API Implementation,Story,To Do,High,5,Backend Developer + API Designer,Phase 2,3,4,JEAN-DEV-101,"Design comprehensive REST API following Mem0-style patterns with clear endpoints, request/response schemas, and OpenAPI documentation.","Complete API endpoint specification | Pydantic models for all request/response schemas | OpenAPI/Swagger documentation | Authentication and authorization design | Error response standardization","POST /api/v2/memories (Add) | GET /api/v2/memories (List) | GET /api/v2/memories/{id} (Get) | PUT /api/v2/memories/{id} (Update) | DELETE /api/v2/memories/{id} (Delete) | POST /api/v2/memories/search (Search) | DELETE /api/v2/memories (Bulk delete)","API specification complete with all endpoints | Schemas defined with proper validation | Documentation generated and accessible",Initiative 4: REST API Migration
JEAN-MEM-103,Develop Memory Shuttle Sync Service,JEAN-MEM-001 - Dual-Layer Memory Architecture,Story,To Do,Medium,13,Backend Developer,Phase 3,5,6,"JEAN-MEM-101, JEAN-MEM-102","Implement bidirectional sync service between local short-term memory and cloud long-term memory with conflict resolution.","Background sync service with configurable intervals | Bidirectional sync (local ↔ cloud) | Conflict resolution strategies | Sync status monitoring and reporting | Queue management for offline scenarios","Initial load: Top-100 memories from cloud to local | Continuous sync: Every 5 minutes | Conflict resolution: Cloud wins, local wins, or newest wins | Retry logic with exponential backoff","Sync service runs reliably in background | Conflict resolution works correctly | Monitoring shows sync status and performance",Initiative 1: Short-term Memory
JEAN-NOT-102,Build Notion API Client and Page Fetcher,JEAN-NOT-001 - Notion Integration System,Story,To Do,High,10,Backend Developer,Phase 3,5,6,JEAN-NOT-101,"Create comprehensive Notion API client with page fetching, content parsing, and pagination support.","Complete Notion API client wrapper | Page and database enumeration | Block content parsing with nested support | Pagination handling for large workspaces | Content type support (text, lists, code, tables)","Recursive block parsing for nested content | Rich text extraction with formatting preservation | Code block handling with language detection | Table and database content extraction | Media content referencing","Can fetch and parse all accessible Notion pages | Content extraction preserves structure and formatting | Handles large workspaces with pagination",Initiative 2: Notion Integration
